,adjclose,close,date,high,low,open,volume
0,65.5999984741211,65.5999984741211,2019-05-31,66.66999816894531,64.04000091552734,64.31999969482422,1506100
1,64.72000122070312,64.72000122070312,2019-05-30,65.68000030517578,63.7599983215332,64.6500015258789,1076700
2,64.41999816894531,64.41999816894531,2019-05-29,65.3499984741211,63.52000045776367,64.63999938964844,1390500
3,65.04000091552734,65.04000091552734,2019-05-28,65.73999786376953,63.560001373291016,64.97000122070312,8094400
4,64.72000122070312,64.72000122070312,2019-05-24,68.73999786376953,63.79999923706055,67.62999725341797,2588000
5,67.13999938964844,67.13999938964844,2019-05-23,68.62000274658203,66.20999908447266,68.2699966430664,1265600
6,68.55999755859375,68.55999755859375,2019-05-22,69.66000366210938,67.5,69.31999969482422,1236100
7,69.23999786376953,69.23999786376953,2019-05-21,69.77999877929688,67.56999969482422,68.12999725341797,1022700
8,67.45999908447266,67.45999908447266,2019-05-20,68.11000061035156,66.45999908447266,66.8499984741211,1092500
9,67.4000015258789,67.4000015258789,2019-05-17,68.8499984741211,66.97000122070312,67.04000091552734,1013400
10,67.77999877929688,67.77999877929688,2019-05-16,68.69999694824219,66.69999694824219,66.93000030517578,988300
11,66.55000305175781,66.55000305175781,2019-05-15,68.26000213623047,66.05000305175781,66.44000244140625,1163600
12,66.73999786376953,66.73999786376953,2019-05-14,67.8499984741211,66.30999755859375,67.05000305175781,1687300
13,66.55000305175781,66.55000305175781,2019-05-13,67.86000061035156,66.08999633789062,67.29000091552734,1425200
14,69.27999877929688,69.27999877929688,2019-05-10,69.91000366210938,67.0,67.19000244140625,1401300
15,67.36000061035156,67.36000061035156,2019-05-09,69.91000366210938,66.18000030517578,68.0,2001600
16,68.6500015258789,68.6500015258789,2019-05-08,69.63999938964844,63.20000076293945,63.970001220703125,5360900
17,67.62000274658203,67.62000274658203,2019-05-07,72.52999877929688,67.0999984741211,72.19000244140625,2450500
18,72.73999786376953,72.73999786376953,2019-05-06,73.5999984741211,71.97000122070312,72.41999816894531,1153500
19,73.45999908447266,73.45999908447266,2019-05-03,73.7300033569336,72.19999694824219,73.22000122070312,1177700
20,72.20999908447266,72.20999908447266,2019-05-02,73.79000091552734,71.12000274658203,73.41999816894531,1577300
21,73.56999969482422,73.56999969482422,2019-05-01,74.80999755859375,73.2300033569336,74.37000274658203,720300
22,74.33000183105469,74.33000183105469,2019-04-30,75.0,72.80999755859375,74.33999633789062,935400
23,74.37999725341797,74.37999725341797,2019-04-29,75.13999938964844,73.66999816894531,74.69999694824219,889700
24,74.7300033569336,74.7300033569336,2019-04-26,74.98999786376953,72.41000366210938,74.04000091552734,956700
25,73.86000061035156,73.86000061035156,2019-04-25,74.44000244140625,72.41000366210938,73.80000305175781,1008000
