,adjclose,close,date,high,low,open,volume
50,9.0,9.0,2019-03-20,9.0,9.0,9.0,0
51,9.0,9.0,2019-03-19,9.0,9.0,9.0,200
52,9.0,9.0,2019-03-18,9.0,9.0,9.0,300
53,11.5,11.5,2019-03-15,11.5,11.5,11.5,0
54,11.5,11.5,2019-03-14,11.5,11.5,11.5,0
55,11.5,11.5,2019-03-13,11.5,10.5,10.5,600
56,10.0,10.0,2019-03-12,10.0,10.0,10.0,100
57,10.0,10.0,2019-03-11,10.0,10.0,10.0,200
58,10.0,10.0,2019-03-08,10.0,10.0,10.0,100
59,10.5,10.5,2019-03-07,10.5,10.5,10.5,200
60,10.0,10.0,2019-03-06,10.0,10.0,10.0,100
61,10.0,10.0,2019-03-05,10.0,8.8100004196167,8.8100004196167,500
62,8.75,8.75,2019-03-04,8.75,8.75,8.75,100
63,8.75,8.75,2019-03-01,8.75,8.75,8.75,200
64,10.5,10.5,2019-02-28,10.5,10.5,10.5,200
65,10.5,10.5,2019-02-27,10.5,9.0,9.0,500
66,9.0,9.0,2019-02-26,9.0,9.0,9.0,200
67,9.5,9.5,2019-02-25,10.0,9.5,10.0,300
68,10.0,10.0,2019-02-22,10.0,10.0,10.0,300
69,11.0,11.0,2019-02-21,11.0,11.0,11.0,100
70,11.0,11.0,2019-02-20,11.0,11.0,11.0,0
71,11.0,11.0,2019-02-19,11.25,11.0,11.010000228881836,6600
72,11.0,11.0,2019-02-15,11.0,9.050000190734863,9.050000190734863,1600
73,9.0,9.0,2019-02-14,9.0,9.0,9.0,300
74,10.0,10.0,2019-02-13,10.0,10.0,10.0,100
75,10.0,10.0,2019-02-12,10.0,10.0,10.0,300
76,10.0,10.0,2019-02-11,10.0,10.0,10.0,200
77,10.0,10.0,2019-02-08,10.0,10.0,10.0,200
78,10.550000190734863,10.550000190734863,2019-02-07,10.550000190734863,10.550000190734863,10.550000190734863,200
79,10.550000190734863,10.550000190734863,2019-02-06,10.550000190734863,10.550000190734863,10.550000190734863,300
80,10.550000190734863,10.550000190734863,2019-02-05,10.800000190734863,10.550000190734863,10.75,2100
81,11.149999618530273,11.149999618530273,2019-02-04,11.75,10.960000038146973,10.960000038146973,1300
82,11.699999809265137,11.699999809265137,2019-02-01,11.850000381469727,10.800000190734863,10.800000190734863,1400
83,10.449999809265137,10.449999809265137,2019-01-31,10.449999809265137,10.350000381469727,10.350000381469727,700
84,11.75,11.75,2019-01-30,11.75,11.0,11.0,400
85,12.0,12.0,2019-01-29,12.0,11.050000190734863,11.0600004196167,400
86,12.0,12.0,2019-01-28,17.5,11.800000190734863,11.800000190734863,800
87,12.0,12.0,2019-01-25,12.0,12.0,12.0,200
88,12.0,12.0,2019-01-24,12.0,12.0,12.0,100
89,13.0,13.0,2019-01-23,13.0,13.0,13.0,200
90,12.989999771118164,12.989999771118164,2019-01-22,14.0,10.0,14.0,700
91,16.0,16.0,2019-01-18,16.0,15.0,15.0,500
92,15.0,15.0,2019-01-17,15.0,15.0,15.0,100
